dataset,name,_rxn_M_inorganic,_rxn_M_organic,_rxn_M_acid,binarized_crystalscore,binarized_crystalscore_predictions,binarized_crystalscore_prob_predictions
35,2018-09-25T15_12_25.939061+00_00_LBL_H1,0.9797628058563144,2.4474244291571203,6.576293002765441,0,0,0.2557172228440439
35,2017-10-19T23_16_50.000000+00_00_LBL_F10,1.3043509697831073,2.608695652173913,3.457102645722544,0,0,0.12853460765146688
35,2019-06-19T14_53_56.517003+00_00_LBL_D9,0.7008895666798188,0.719309853340203,14.60125588492795,0,0,1.0000000994736041e-07
35,2018-09-24T15_07_31.181836+00_00_LBL_E12,1.1014195714364428,2.8011549432608462,3.5369894775127824,0,0,0.3052747783456223
35,2018-09-25T15_12_25.939061+00_00_LBL_F1,0.9797628058563144,2.4474244291571203,6.576293002765441,0,0,0.2557172228440439
35,2019-01-21T16_00_00.000000+00_00_LBL_E1,0.5671326489402725,1.2079689153344535,8.811226903450383,0,1,0.5579063408613157
35,2019-03-29T20_02_36.045372+00_00_ECL_C1,0.6217749760536919,0.7429086508319679,6.364291294101178,1,1,0.7810518562232006
35,2018-11-09T01_43_18.720125+00_00_LBL_E3,0.08944465202979993,0.2337323076152789,8.692320809943958,0,0,0.06983905939617215
35,2018-09-25T15_12_25.939061+00_00_LBL_A4,0.6132717499594779,3.4383088313382792,5.676544396755968,0,0,0.05250163903547995
35,2018-11-04T01_21_18.950306+00_00_LBL_B3,1.1819073147501744,0.7969946590679343,7.270452443616787,0,0,1.3371578954828472e-06
35,2019-05-13T18_52_03.413380+00_00_LBL_C3,0.11631466176920725,0.26015955097462123,8.834817872402056,0,0,0.20777687774928233
35,2018-11-09T01_44_50.988010+00_00_LBL_G5,0.4920863615200437,0.9831944835505794,7.518455324078541,0,1,0.4365736109909068
35,2019-04-22T22_24_16.919740+00_00_LBL_E12,0.0,2.615328018743928,5.79784922876385,0,0,0.014245733990369531
35,2018-06-26T16_01_41.558851+00_00_LBL_C11,0.7544347649984853,2.3194142693964324,6.754488179645685,0,0,0.40534927884493394
35,2019-04-22T15_31_44.525963+00_00_LBL_F7,1.4531527487862492,1.816694492538544,8.834817872402056,1,1,0.48926951702565635
35,2019-02-21T16_54_38.714239+00_00_LBL_C4,0.4527037795835267,1.2894891640149881,8.716229713040956,1,0,0.317289645952259
35,2018-07-09T22_47_01.237679+00_00_LBL_B4,0.5522184060679178,0.7270723953680681,3.214072582754351,1,1,0.5841230121926182
35,2019-06-27T12_52_20.503028+00_00_LBL_G9,1.4803235724114356,1.5247026471800886,8.746469693678037,0,0,0.33156342188675175
35,2017-10-16T17_52_59.000000+00_00_LBL_C6,0.8190320539969085,1.6375344683483493,4.779491635889637,0,0,0.2497521913760874
35,2019-05-23T02_12_25.720560+00_00_LBL_A8,0.0,4.862124589896409,4.41740893620103,0,0,3.171864314778698e-06
35,2018-07-02T21_24_34.761347+00_00_LBL_B6,1.0524509823006605,1.1969648480164348,6.871525011868267,0,0,0.05715175446812354
35,2018-09-24T17_37_31.739860+00_00_LBL_B10,0.16705430603884644,0.6839204688949473,7.326122490428912,0,0,0.2970289895652419
35,2017-10-18T23_35_29.000000+00_00_LBL_B2,0.8188544325876079,0.8188281090614741,4.779491635889637,1,1,0.5618350876478148
35,2018-07-24T16_19_50.004700+00_00_LBL_G6,0.6723511337772002,0.7444721611984649,7.253038253325705,1,0,0.1842316123940766
35,2019-05-13T18_52_03.413380+00_00_LBL_B11,0.9394645758282122,0.8704761543963709,6.116412373201425,0,1,0.6550762168331782
35,2018-07-16T22_55_19.265461+00_00_LBL_F9,1.2581318719690142,0.6794616093021557,6.262485229675237,1,1,0.561162545754945
35,2018-06-05T20_57_54.000000+00_00_LBL_H12,1.609481745487472,0.8032835587030691,5.266910654701227,0,0,0.029521414720875203
35,2018-12-06T17_08_57.099365+00_00_LBL_E5,0.06115407625136265,4.685691310939381,4.743818463506523,0,0,0.024347655941724732
35,2018-07-09T22_47_01.237679+00_00_LBL_F10,0.7052985027046524,0.8103031614340344,4.156684968634357,1,1,0.5
35,2018-06-19T15_28_26.503342+00_00_A1,0.9720358811486488,2.2540968279734512,2.2731921897968794,0,0,2.5673675848575206e-07
35,2019-01-09T16_00_00.000000+00_00_LBL_H2,0.04915756681558205,0.6481642542259983,8.275806012525175,0,0,0.1755145146040794
35,2018-09-13T13_27_47.616022+00_00_LBL_A2,1.2320522031787944,1.0333933805738846,5.958365541852549,0,1,0.8170771249828632
35,2017-10-17T16_00_00.000000+00_00_LBL_G11,1.297580982050669,1.2974941916338685,3.5767255746402795,0,1,0.5128265467704792
35,2018-07-06T15_40_16.425303+00_00_LBL_C5,0.3371773202362561,0.8579762971835637,6.8322591546575895,0,0,0.17284100291479995
35,2017-10-17T16_00_00.000000+00_00_LBL_D5,0.8409111176404728,0.8408548721903609,4.194307474776734,1,1,0.7277751073377924
35,2019-04-04T14_21_13.465936+00_00_LBL_B8,0.3975565412537344,0.5129279327937537,5.129894248491516,1,1,0.5593412805557766
35,2018-07-12T19_22_54.635369+00_00_LBL_A8,1.3879558029616428,0.8310253580997428,5.266910654701227,1,1,0.6778202466493131
35,2019-04-22T15_31_44.525963+00_00_LBL_A1,0.0,3.0467803427466333,7.298327807636483,0,0,0.00121415014331628
35,2018-09-24T17_37_31.739860+00_00_LBL_D3,1.182576524545157,1.1549842568848778,3.457102645722544,1,1,0.5664376743859878
35,2018-11-04T01_21_18.950306+00_00_LBL_A1,0.24106411904188524,0.42112739897973184,7.101486108270468,0,0,6.668083867162698e-07
35,2019-05-30T15_19_31.623252+00_00_LBL_D2,1.0899741701312582,1.2448480751658488,3.812284424392669,0,0,1.5345711361564525e-06
35,2018-12-11T15_55_59.662061+00_00_LBL_H2,0.9731816330371676,1.1606803356364503,8.834817872402056,0,0,0.31259593714533584
35,2018-09-24T15_07_31.181836+00_00_LBL_A4,0.6094390491965306,3.663329106823493,4.380535739738583,0,0,0.005712286483591418
35,2018-07-24T16_19_50.004700+00_00_LBL_A7,0.6440534923541396,0.7957143121672969,5.949142065781572,0,0,0.3331106846563641
35,2018-07-16T22_55_19.265461+00_00_LBL_E3,1.1539681526179395,0.9968472155307099,4.049916511966988,0,1,0.5993412308145953
35,2017-10-20T22_59_29.000000+00_00_LBL_G7,2.5951515395033766,1.2975392690116565,3.5767255746402795,0,0,0.3123802546640917
35,2019-05-29T17_22_53.471261+00_00_LBL_G7,0.3918447777387949,0.4746528263002395,5.535740312454454,0,0,0.02514766072395254
35,2018-11-04T01_21_18.950306+00_00_LBL_B2,0.4389140616357502,1.0878439523960974,6.39485299717114,0,0,1.4603948175165986e-06
35,2019-05-29T19_49_43.354126+00_00_LBL_A10,0.0933552131398812,1.0123424998009438,7.46389785771898,0,0,1.0000000994736041e-07
35,2018-07-24T16_19_50.004700+00_00_LBL_C11,0.3735923499168301,0.2421185044972796,5.577677739063955,0,0,0.23335660115923382
35,2018-06-21T21_40_04.434642+00_00_LBL_H2,1.0412275793480592,2.6425331790013087,4.156684968634357,0,0,3.892685358339479e-07
35,2019-05-13T12_47_03.748293+00_00_LBL_G6,0.6777665188545647,1.4646593737677995,7.572701033487479,0,0,1.0000000994736041e-07
35,2018-10-31T17_30_05.725585+00_00_LBL_G8,0.07944967882705083,0.22349292627852768,8.098583049701885,0,0,1.0000000994736041e-07
35,2018-12-06T17_08_57.099365+00_00_LBL_A9,0.967617515654972,1.9958877138110167,5.8623557844910845,1,0,0.3459787678724081
35,2019-04-22T15_31_44.525963+00_00_LBL_G9,1.0265600266150896,1.6714920969767308,6.116412373201423,1,1,0.4908888382495549
35,2018-08-21T00_41_41.669916+00_00_LBL_D1,0.6002627273033775,1.265687650202447,6.281636560652838,0,1,0.4431879517224349
