dataset,name,_rxn_M_inorganic,_rxn_M_organic,_rxn_M_acid,binarized_crystalscore,binarized_crystalscore_predictions,binarized_crystalscore_prob_predictions
44,2019-08-20T17_14_13.821028+00_00_LBL_D8,0.023641302507487225,0.7272585450063209,9.560724751697618,0,0,0.0004406223301910576
44,2019-06-27T12_52_20.503028+00_00_LBL_H5,0.15220300567531672,0.09418596162969106,10.336736910710409,0,1,0.7988000697671829
44,2018-06-28T22_33_43.276776+00_00_LBL_F3,0.5643245052336785,1.5926942198369276,6.3028883601892725,0,0,0.30015419377327685
44,2019-09-23T15_43_50.016051+00_00_LBL_F6,1.029036871474594,0.7548795984389269,2.385400825548555,0,0,0.3476172789142386
44,2017-10-16T17_52_59.000000+00_00_LBL_D7,0.9412373777843164,0.9412071200416376,4.194307474776734,0,1,0.760683142689823
44,2019-08-28T11_46_15.309618+00_00_LBL_A9,0.6161301141776007,1.3002484478474563,1.5966538323618171,0,0,0.26916928574203414
44,2019-04-22T22_24_16.919740+00_00_LBL_F9,0.13314036923671602,0.30268712904915096,5.469172968629844,0,1,0.5654275563694012
44,2019-06-18T20_54_55.536969+00_00_LBL_D7,0.17806047379927076,0.9203790914917156,7.26222029111449,1,0,0.20410135769805193
44,2017-10-20T22_59_29.000000+00_00_LBL_F5,0.8077149078342497,0.807720400876034,4.194307474776734,1,0,0.46068498861320867
44,2018-09-25T15_12_25.939061+00_00_LBL_C4,0.4394192005821856,0.972601594271368,6.8233191603819465,1,0,0.4706754250720114
44,2018-07-16T22_55_19.265461+00_00_LBL_B11,0.7149076271212467,0.8102824608511582,1.6379156729734152,0,0,0.30996005422943446
44,2019-05-29T19_49_43.354126+00_00_LBL_E8,0.8565705813065593,1.0235583030032722,5.368525692799336,0,0,0.45940102945831124
44,2019-02-21T16_43_20.274786+00_00_LBL_D10,0.06586085416115407,2.1953485737333405,8.325816019671072,1,1,0.5681332793649433
44,2018-11-09T01_43_18.720125+00_00_LBL_B4,0.006733144337904821,0.03161010472908383,5.990170631752478,0,0,0.284465867492336
44,2019-08-28T12_41_25.009802+00_00_LBL_A8,0.5904522228819727,0.7365344190219545,6.346136781584578,0,1,0.6257350250074344
44,2019-05-30T15_13_14.483373+00_00_LBL_G4,1.0545489963209471,1.58107744155228,5.0953634579120095,0,1,0.5971618235877951
44,2019-05-13T18_52_03.413380+00_00_LBL_A7,0.420583539032917,0.251743354629374,8.571805702993604,1,1,0.6828774480072887
44,2017-10-19T19_24_47.000000+00_00_LBL_D5,0.7013350300277059,0.7013333396972005,3.457102645722544,0,1,0.568592814865559
44,2018-09-10T22_54_34.498665+00_00_LBL_E9,1.2569805675806405,0.9719117804818428,3.1730683907922885,1,1,0.8514518936984908
44,2019-03-12T15_22_17.125738+00_00_LBL_A8,0.4526760988064343,1.1780715106297546,7.409025939103742,1,1,0.6936397886749005
44,2019-06-10T21_14_00.866379+00_00_LBL_C10,0.5319444540127932,0.8192542153590433,2.48644574852034,0,0,0.36522135770062153
44,2019-08-12T20_25_42.894023+00_00_LBL_H10,0.32145817222712475,1.83885172010616,7.967270626414679,0,1,0.7640659201559185
44,2019-03-12T15_22_17.125738+00_00_LBL_D6,0.11004469044414852,1.0795131352902527,6.3028883601892725,0,1,0.5043674395980252
44,2019-08-28T12_43_43.974719+00_00_LBL_A11,0.3772543907541115,0.5609766403339915,8.089712750633208,0,0,0.34005201114235406
44,2019-08-28T12_41_25.009802+00_00_LBL_H7,0.4891484683010705,0.3407074439416328,2.873976898251272,0,0,0.4078999022908867
44,2019-08-28T12_41_25.009802+00_00_LBL_C11,0.011465091706446074,0.1861524194124297,6.8794255867597505,0,0,0.4318623822750328
44,2019-09-23T15_43_50.016051+00_00_LBL_B11,0.11565471662808327,0.07994304103058289,14.577449489463394,0,1,0.6426085997436778
44,2019-05-13T12_47_03.748293+00_00_LBL_C9,0.5126006789547599,0.4127907200321744,0.0,0,0,0.42232375521083243
